CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MODEL,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,EAF_PCT,UCF_PCT,NON_ELEC
br,BRAZIL,BR-2,ANGRA-2,PWR,PRE KONVOI,3764,1350,1275,ELETRONU,KWU,01-1976,07-2000,02-2020,90.7,91.3,-
bg,BULGARIA,BG-5,KOZLODUY-5,PWR,VVER V-320,3000,1000,1003,KOZNPP,AEE,07-1980,11-1987,12-1988,88,88.4,DH
bg,BULGARIA,BG-6,KOZLODUY-6,PWR,VVER V-320,3120,1040,1003,KOZNPP,AEE,04-1982,08-1991,12-1993,87.6,88.3,DH
ca,CANADA,CA-8,BRUCE-1,PHWR,CANDU 791,2620,830,760,BRUCEPOW,OH/AECL,06-1971,01-1977,09-1977,87.5,87.5,-
ca,CANADA,CA-9,BRUCE-2,PHWR,CANDU 791,2620,830,760,BRUCEPOW,OH/AECL,12-1970,09-1976,09-1977,87.4,87.5,-
ca,CANADA,CA-10,BRUCE-3,PHWR,CANDU 750A,2550,830,750,BRUCEPOW,OH/AECL,07-1972,12-1977,02-1978,76.1,76.3,-
ca,CANADA,CA-11,BRUCE-4,PHWR,CANDU 750A,2550,830,750,BRUCEPOW,OH/AECL,09-1972,12-1978,01-1979,82.3,82.4,-
ca,CANADA,CA-18,BRUCE-5,PHWR,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,06-1978,12-1984,03-1985,88.5,88.7,-
ca,CANADA,CA-19,BRUCE-6,PHWR,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,01-1978,06-1984,09-1984,89.4,89.6,-
ca,CANADA,CA-20,BRUCE-7,PHWR,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,05-1979,02-1986,04-1986,88.1,88.2,-
ca,CANADA,CA-21,BRUCE-8,PHWR,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,08-1979,03-1987,05-1987,88.4,88.5,-
ca,CANADA,CA-22,DARLINGTON-1,PHWR,CANDU 850,2776,934,878,OPG,OH/AECL,04-1982,12-1990,11-1992,87,87.9,-
ca,CANADA,CA-23,DARLINGTON-2,PHWR,CANDU 850,2776,934,878,OPG,OH/AECL,09-1981,01-1990,10-1990,59.3,60,-
ca,CANADA,CA-24,DARLINGTON-3,PHWR,CANDU 850,2776,934,878,OPG,OH/AECL,09-1984,12-1992,02-1993,88.5,89.3,-
ca,CANADA,CA-25,DARLINGTON-4,PHWR,CANDU 850,2776,934,878,OPG,OH/AECL,07-1985,04-1993,06-1993,85.2,85.9,-
